Название;Артикул
Розетка потолочная R 4030;R 4030 выв.
Молдинг L=2,44м. CR 3007-8;CR 3007-8 выв.
Карниз с узорчатой резьбой L=2,44м. C 127-8;C 127-8 выв.
Бордюр дверной D 597;D 597 выв.
Молдинг L=2,44м. CR 3073-8;CR 3073-8 выв.
Z 17 Плинтус потолочный, L=2м;Z17
Z 16 Плинтус потолочный, L=2м;Z16
Карниз с гладким профилем L=2,44м. P 2057-8;P 2057-8 выв.
Пилястр PL 562 (капитель);PL 562 выв.
Профиль MA 10 Domostyl, L=2м;Профиль MA 10
Профиль MA 11 Domostyl, L=2м;Профиль MA 11
Профиль MA 2 Domostyl, L=2м;Профиль MA 2
Плита BA 10;Консоль BA 10
Молдинг L=2,44м. CR 404-8;CR 404-8 выв.
Карниз с гладким профилем L=2.44м. P 207-8;P 207-8 выв.
Квадрат 1.54.002;1.54.002
Декоративное панно W 8028;W 8028 выв.
Декоративное панно W 8033;W 8033 выв.
Карниз с гладким профилем L=2,44м. P 149-8;P 149-8 выв.
Ниша  1.61.101;1.61.101
Ниша  1.61.110;1.61.110
Стекло С-110;С 110
Розетка потолочная R 304;R 304 выв.
Розетка потолочная R 4033;R 4033 выв.
Профиль L4, L=2м;L4
База 1.54.010;1.54.010
Z 1 Молдинг, L=2м;Z1
Z 1 flex  Молдинг, L=2м;Z1 flex
Профиль МА 21 Domostyl, L=2м;Профиль МА 21
Профиль FA 10 Domostyl light, L=2м;Профиль FA 10 light
Розетка потолочная R 4038;R 4038 выв.
Карниз с узорчатой резьбой L=2,44м. C 1068-8;C 1068-8 выв.
Пьедестал L 919;L 919 выв.
Карниз с узорчатой резьбой L=2,44м. C 1006-8;C 1006-8 выв.
Карниз с гладким профилем L=2.44м. P 132-8;P 132-8 выв.
Молдинг L=2,44м. CR 686-8 flexi;CR 686-8 flexi выв.
Карниз с узорчатой резьбой L=2,44м. C 124-8;C 124-8 выв.
Колонна (тело)  L 931 (2);L 931 (2) выв.
Молдинг L=2,44м. CR 3010-8;CR 3010-8 выв.
Z 52 Плинтус потолочный, L=2м;Z 52
Карниз с узорчатой резьбой L=2,44м. C 1018-8;C 1018-8 выв.
Z 1250 Плинтус потолочный, L=2м;Z 1250
Купол DM 3508;DM 3508 выв.
Квадрат 1.54.001;1.54.001
Z 9 Плинтус потолочный, L=2м;Z9
Наличник 1.54.003;1.54.003
Карниз с гладким профилем L=2,44м. P 203-8;P 203-8 выв.
Профиль MA 1 Domostyl, L=2м;Профиль MA 1
Профиль FA 14 Domostyl, L=2м;Профиль FA 14
Профиль MA 13 Domostyl, L=2м;Профиль MA 13
Профиль MA 12 Domostyl, L=2м;Профиль MA 12
Профиль FA 11 Domostyl, L=2м;Профиль FA 11
Консоль SA 1;Консоль SA 1
Молдинг L=2,00м. CR 3057;CR 3057
Z 13 Молдинг, L=2м;Z13
Z 1550 Молдинг, L=2м;Z 1550
Профиль FA 10 Domostyl, L=2м;Профиль FA 10
Ниша  1.61.102;1.61.102
Ниша  1.61.120;1.61.120
Купол DM 3513;DM 3513 выв.
Профиль МА 3 Domostyl, L=2м;Профиль МА 3
Профиль МА 22 Domostyl, L=2м;Профиль МА 22
Профиль FA 13 Domostyl, L=2м;Профиль FA 13
Фронтон GA1 Domostyl  SET;Фронтон GA1
Консоль СА 10;Консоль СА 10
Консоль СА 11;Консоль СА 11
Плита ВА 11;Плита ВА 11
Консоль SA 2;Консоль SA 2
Консоль СА 12;Консоль СА 12 выв.
Профиль NA Domostyl, L=2м;Профиль NA
Кессон потолочный R 4047;R 4047 выв.
Профиль L2, L=2м;L2
Розетка RA 3  d=155мм;Розетка RA 3
Профиль FA 15 Domostyl, L=2м;Профиль FA 15
Потолочный профиль с орнаментом L=2,4м 95350;95350
Потолочный профиль с орнаментом L=2,4м 95406;95406
Потолочный профиль с орнаментом L=2,4м 95609;95609 *
Потолочный профиль с орнаментом L=2,4м 95610;95610
Потолочный профиль с орнаментом L=2,4м 95613;95613
Потолочный профиль с орнаментом L=2,4м 95614;95614
Потолочный профиль с орнаментом L=2,4м 95617;95617
Потолочный профиль с орнаментом L=2,4м 95619;95619
Потолочный профиль с орнаментом L=2,4м 95621;95621
Потолочный профиль с орнаментом L=2,4м 95622;95622
Потолочный профиль с орнаментом L=2,4м 95622 Flex;95622 flexible
Потолочный профиль с орнаментом L=2,4м 95628;95628
Потолочный профиль с орнаментом L=2,4м 95638;95638
Потолочный профиль с орнаментом L=2,4м 95684;95684
Потолочный профиль с орнаментом L=2,4м 95769;95769
Потолочный профиль с орнаментом L=2,4м 95775;95775 *
Потолочный профиль с орнаментом L=2,4м 95777;95777
Потолочный профиль с орнаментом L=2,4м 95779;95779
Потолочный профиль с орнаментом L=2,4м 95810;95810
Потолочный профиль с орнаментом L=2,4м 95825;95825
Потолочный профиль с орнаментом L=2,4м 95854;95854
Потолочный профиль с орнаментом L=2,4м 95861;95861
Потолочный профиль с орнаментом L=2,4м 95036;95036
Потолочный профиль с орнаментом L=2,4м 95036 flex;95036 flexible
Потолочный профиль с орнаментом L=2,4м 95112;95112
Потолочный профиль с орнаментом L=24м 95112 flex;95112 flexible
Потолочный профиль с орнаментом L=2,4м 95126;95126 *
