Название;Артикул
Потолочный профиль гладкий L=240 см 96901;96901
Купол DM 3506;DM 3506 выв.
Консоль DQ 9916;DQ 9916
Микропрофиль SP1,  L=2м;SP1
Консоль DQ 9952;DQ 9952
Потолочный профиль гладкий L=240 см DP 213 flex;DP 213 flexible
Угловые вставки 97010-7;97010-7
Угловые вставки 97010-6;97010-6 *
Угловые вставки 98102-2;98102-2 АКЦИЯ
Угловые вставки 98102-3;98102-3
Угловые вставки DP 8050 A;DP 8050 A
Угловые вставки DP 304 B;DP 304 B
Угловые вставки DP 8032 B;DP 8032 B
Наличник 1.54.004;1.54.004
Угловые вставки 97012-5;97012-5 *
Угловые вставки DP 8032 C;DP 8032 C
Z 5 Плинтус потолочный, L=2м;Z 5
Потолочный профиль гладкий L=240 см 96695;96695
Z 19 Плинтус потолочный, L=2м;Z19
Консоль DQ 9932;DQ 9932
Консоль DQ 9913;DQ 9913
Z 30 Молдинг, L=2м;Z30
Z 101 уголки (4 шт/ 1 набор);Z101
Консоль DQ 9945;DQ 9945
Консоль DQ 9935;DQ 9935 *
Потолочный профиль с орнаментом L=2,4м 95081;95081
Угловые вставки 97012-7;97012-7
Консоль DQ 9920;DQ 9920
Z 104 декоративная вставка (2 шт/ 1 набор);Z 104
Консоль DQ 9926;DQ 9926
Угловые вставки DP 8032 A;DP 8032 A
Декоративное панно DT 3852;DT 3852
Консоль DQ 9919;DQ 9919
Консоль DQ 9953;DQ 9953
Колонна ЛС 101-2 HALF (тело гладкое);LC 101-2 выв.
Колонна ЛС 102-2 HALF (тело гладкое);LC 102-2 выв.
Реставрационная смесь ДарМикс (5 кг);ДарМикс (5 кг)
Потолочный профиль гладкий L=240 см DP 336;DP 336
Потолочный профиль гладкий L=240 см DP 374;DP 374
Потолочный профиль гладкий L=240 см DP 375;DP 375
Потолочный профиль гладкий L=240 см DP 40;DP 40
Потолочный профиль с орнаментом L=240см DP 41;DP 41
Плинтус комбинированный DP 42;DP 42
Угловые вставки DP 8051 C;DP 8051 C
Потолочный профиль гладкий L=240 см DT 85606;DT 85606
Консоль DQ 9934;DQ 9934
Угловые вставки 98010-3;98010-3 *
Элемент 1.54.006;1.54.006
Элемент 1.54.009;1.54.009
Элемент 1.54.019;1.54.019
Элемент 1.54.008;1.54.008
Угловые вставки DP 8051 B;DP 8051 B
Угловые вставки 97022-2;97022-2
Полка декоративная DH-12M;DH-12M
Потолочный профиль с орнаментом L=2,4м DT 88152;DT 88152
Угловые вставки 97012-4;97012-4
Угловые вставки 97010-9;97010-9
Угловая вставка DP 8051 D;DP 8051 D
Угловые вставки 98102-1;98102-1
Угловые вставки DP 8052 A;DP 8052 A
Угловые вставки 98885-2;98885-2
Кронштейн B 816;B 816 выв.
Полка декоративная DH-12S;DH-12S
Угловые вставки DP 8052 B;DP 8052 B
Потолочный профиль гладкий L=120 см DS 336A flex;DS 336A flexible
Декоративная ниша   N 738;N 738 выв.
Z 10 flex  Молдинг, L=2м;Z10 flex
Угловые вставки DP 304 A;DP 304 A
Угловые вставки DP 304 D;DP 304 D
Z 1240 Плинтус потолочный, L=2м;Z 1240
Z 1240 flex Плинтус потолочный, L=2м;Z 1240 flex
Z 1220 Плинтус потолочный, L=2м;Z 1220
Z 15 Плинтус потолочный, L=2м;Z 15
Z 15 flex Плинтус потолочный, L=2м;Z 15 flex
Z 16 flex Плинтус потолочный, L=2м;Z16 flex
Z 18 Плинтус потолочный, L=2м;Z18
Z 20 Плинтус потолочный, L=2м;Z20
Z 21 Плинтус потолочный, L=2м;Z21
Z 22 Плинтус потолочный, L=2м;Z22
Z 99 Штифты для соединения (100 шт./ 1 компл.);Z99
Z 3 Плинтус потолочный, L=2м;Z3
Z 4 Плинтус потолочный, L=2м;Z4
Z 6 Плинтус потолочный, L=2м;Z 6
Z 40 Плинтус потолочный, L=2м;Z40
Z 7 Плинтус потолочный, L=2м;Z 7
Z 8 Плинтус потолочный, L=2м;Z 8
Z 11 Плинтус потолочный, L=2м;Z11
Z 24 Плинтус потолочный, L=2м;Z24
Z 41 Плинтус потолочный, L=2м;Z41
Z 12 Молдинг, L=2м;Z 12
Z 30 flex Молдинг, L=2м;Z30 flex
Z 31 Молдинг, L=2м;Z31
Z 31 Молдинг, L=2м;Z32
Z 31 flex Молдинг, L=2м;Z31 flex
Z 32 flex Молдинг, L=2м;Z32 flex
Микропрофиль SP2,  L=2м;SP2
Микропрофиль SP3,  L=2м;SP3
Микропрофиль SP3-6 уголок к-т (4 шт.);SP3-6
Микропрофиль SP3-4 уголок к-т (4 шт.);SP3-4
Микропрофиль SP3-3 уголок к-т (4 шт.);SP3-3
Микропрофиль SP2-5 уголок к-т (4 шт.);SP2-5
Микропрофиль SP2-4 уголок к-т (4 шт.);SP2-4
Потолочный профиль с орнаментом L=2,4м DT 14 Flex;DT 14 flexible
Профиль FA 11 Domostyl light, L=2м;Профиль FA 11 light
Профиль FA 12 Domostyl light, L=2м.;Профиль FA 12 light
Профиль MA 16 Domostyl, L=2м;Профиль MA 16
Z 18 flex Плинтус потолочный, L=2м;Z18 flex
Средний элемент DP 350 M;DP 350 M
Внешний угол DP 350 E;DP 350 E
Внутренний угол DP 350 R;DP 350 R
Потолочный профиль с орнаментом L=2,4м 95081 Flex;95081 flexible
N 3318 1/2 Колонна h=2 м;N3318
Элемент 1.54.007;1.54.007
Элемент 1.54.005;1.54.005
Потолочный профиль гладкий L=240 см DP 2212 flex;DP 2212 flexible
Кронштейн B 837;B 837 выв.
Угловые вставки 97803-1;97803-1 *
Потолочный профиль гладкий L=240 см DP 50;DP 50
Угловые вставки 98020-2;98020-2
130-1 Молдинг (2,4м);130-1 есть ДМ
130-3 Молдинг (2,4м);130-3 есть ДМ
130-4 Молдинг (2,4м);130-4 есть ДМ
130-5 Молдинг (2,4м);130-5 есть ДМ
130-6 Молдинг (2,4м);130-6 есть ДМ
140-1 Угол (2,4м);140-1
140-2 Угол (2,4м);140-2
140-3 Угол (2,4м);140-3
140-4 Угол (2,4м);140-4
140-5 Угол (2,4м);140-5
140-6 Угол (2,4м);140-6
140-1028 Угол (2,4м);140-1028
140-1084 Угол (2,4м);140-1084
140-126 Угол (2,4м);140-126
140-552/6 Угол (2,4м) выв.;140-552 выв.
140-553 Угол (2,4м);140-553
140-767 Угол (2,4м);140-767
142-1 Угол (2,4м);142-1
Потолочный профиль с орнаментом L=2,4м 95638 Flex;95638 flexible
Потолочный профиль с орнаментом L=2,4м 95673;95673
144-2 Плинтус напольный (2,4м);144-2
142-2 Угол (2,4м);142-2
142-3 Угол (2,4м);142-3
142-4 Угол (2,4м);142-4
142-5 Угол (2,4м);142-5
142-6 Угол (2,4м);142-6 есть ДМ
142-1028 Угол (2,4м);142-1028
142-1084 Угол (2,4м);142-1084
142-115 Угол (2,4м);142-115
142-118 Угол (2,4м);142-118
142-126 Угол (2,4м);142-126
142-127 Угол (2,4м);142-127
142-281 Угол (2,4м);142-281
142-552 Угол (2,4м);142-552
142-553 Угол (2,4м);142-553
142-767 Угол (2,4м);142-767
142-933 Угол (2,4м);142-933
142-937 Угол (2,4м);142-937
144-1 Плинтус напольный (2,4м);144-1
144-3 Плинтус напольный (2,4м);144-3
144-4 Плинтус напольный (2,4м);144-4
144-5 Плинтус напольный (2,4м);144-5
144-6 Плинтус наполный (2,4м);144-6
146-1084 Плинтус (2,4м);146-1084
146-115 Плинтус (2,4м);146-115
146-552 Плинтус (2,4м);146-552
146-553 Плинтус (2,4м);146-553
146-933 Плинтус (2,4м);146-933
146-937 Плинтус (2,4м);146-937
147-1028 Молдинг (2,4м);147-1028
147-118 Молдинг (2,4м);147-118
147-126 Молдинг (2,4м);147-126
147-127 Молдинг (2,4м);147-127
147-281 Молдинг (2,4м);147-281
147-767 Молдинг (2,4м);147-767
150-1 Молдинг (2,4м);150-1
150-2 Молдинг (2,4м);150-2
150-3 Молдинг (2,4м);150-3
150-4 Молдинг (2,4м);150-4
150-5 Молдинг (2,4м);150-5
150-6 Молдинг (2,4м);150-6
150-1084 Молдинг (2,4м);150-1084
150-115 Молдинг (2,4м);150-115 есть ДМ
150-552 Молдинг (2,4м);150-552
150-553 Молдинг (2,4м);150-553
150-933 Молдинг (2,4м);150-933
150-937 Молдинг (2,4м);150-937
151-1028 Молдинг (2,4м);151-1028
151-118 Молдинг (2,4м);151-118
151-126 Молдинг (2,4м);151-126
151-127 Молдинг (2,4м);151-127
151-281 Молдинг (2,4м);151-281
151-767 Молдинг (2,4м);151-767
152-1 Молдинг (2,4м);152-1 есть ДМ
152-2 Молдинг (2,4м);152-2 есть ДМ
152-3 Молдинг (2,4м);152-3 есть ДМ
152-4 Молдинг (2,4м);152-4
152-5 Молдинг (2,4м);152-5 есть ДМ
152-6 Молдинг (2,4м);152-6 есть ДМ
152-1084 Молдинг (2,4м);152-1084 есть ДМ
152-115 Молдинг (2,4м);152-115 есть ДМ
152-552 Молдинг (2,4м);152-552 есть ДМ
152-553 Молдинг (2,4м);152-553 есть ДМ
152-933 Молдинг (2,4м);152-933 есть ДМ
152-937 Молдинг (2,4м);152-937 есть ДМ
153-1 Плинтус напольный  (2,4м);153-1
153-2 Плинтус напольный (2,4м);153-2
153-3 Плинтус напольный (2,4м);153-3
153-4 Плинтус напольный (2,4м);153-4
153-5 Плинтус  напольный (2,4м);153-5
153-6 Плинтус напольный (2,4м);153-6
153-1084 Плинтус напольный (2,4м);153-1084
153-115 Плинтус напольный (2,4м);153-115
153-552 Плинтус напольный (2,4м);153-552
153-553 Плинтус напольный (2,4м);153-553
153-933 Плинтус напольный (2,4м);153-933
153-937 Плинтус напольный (2,4м);153-937
154-1084 Плинтус (2,4м);154-1084
154-115 Плинтус (2,4м);154-115
154-552 Плинтус (2,4м);154-552
154-553 Плинтус (2,4м);154-553
154-933 Плинтус (2,4м);154-933
154-937 Плинтус (2,4м);154-937
155-1084 Плинтус (2,4м);155-1084
155-115 Плинтус (2,4м);155-115 есть ДМ
155-552 Плинтус (2,4м);155-552
155-553 Плинтус (2,4м);155-553
155-933 Плинтус  (2,4м);155-933
155-937 Плинтус (2,4м);155-937
156-1 Молдинг (2,4м);156-1 есть ДМ
156-2 Молдинг (2,4м);156-2 есть ДМ
156-3 Молдинг (2,4м);156-3 есть ДМ
156-4 Молдинг (2,4м);156-4 есть ДМ
156-5 Молдинг (2,4м);156-5 есть ДМ
156-6 Молдинг (2,4м);156-6 есть ДМ
156-1084 Молдинг (2,4м);156-1084 есть ДМ
156-115 Молдинг (2,4м);156-115 есть ДМ
156-552 Молдинг (2,4м);156-552 есть ДМ
156-553 Молдинг (2,4м);156-553 есть ДМ
156-933 Молдинг (2,4м);156-933 есть ДМ
156-937 Молдинг (2,4м);156-937 есть ДМ
157-1 Молдинг (2,4м);157-1 есть ДМ
157-3 Молдинг (2,4м);157-3 есть ДМ
157-4 Молдинг (2,4м);157-4 есть ДМ
157-5 Молдинг (2,4м);157-5 есть ДМ
157-6 Молдинг (2,4м);157-6 есть ДМ
157-1084 Молдинг (2,4м);157-1084 есть ДМ
157-115 Молдинг (2,4м);157-115 есть ДМ
157-552 Молдинг (2,4м);157-552 есть ДМ
157-553 Молдинг (2,4м);157-553 есть ДМ
157-933 Молдинг (2,4м);157-933 есть ДМ
157-937 Молдинг (2,4м);157-937 есть ДМ
158-1 Молдинг (2,4м);158-1 есть ДМ
158-3 Молдинг (2,4м);158-3 есть ДМ
158-4 Молдинг (2,4м);158-4 есть ДМ
158-5 Молдинг (2,4м);158-5 есть ДМ
158-6 Модинг (2,4м);158-6 есть ДМ
158-1028 Молдинг (2,4м);158-1028 есть ДМ
158-1084 Молдинг (2,4м);158-1084 естьДМ АКЦ!
158-115 Молдинг (2,4м);158-115 есть ДМ
158-118 Молдинг (2,4м);158-118 есть ДМ
158-126 Молдинг (2,4м);158-126 есть ДМ
158-127 Молдинг (2,4м);158-127 есть ДМ
158-281 Молдинг (2,4м);158-281 есть ДМ
158-552 Молдинг (2,4м);158-552 есть ДМ
158-553 Молдинг (2,4м);158-553 есть ДМ
158-767 Молдинг (2,4м);158-767 есть ДМ
158-933 Молдинг (2,4м);158-933 есть ДМ
158-937 Молдинг (2,4м);158-937 есть ДМ
161-1 Молдинг (2,4м);161-1 есть ДМ
161-2 Молдинг (2,4м);161-2 есть ДМ
161-3 Молдинг (2,4м);161-3 есть ДМ
161-4 Молдинг (2,4м);161-4 есть ДМ
161-5 Молдинг (2,4м);161-5 есть ДМ АКЦ!
161-6 Молдинг (2,4м);161-6 есть ДМ
161-1084 Молдинг (2,4м);161-1084 есть ДМ
161-115 Молдинг (2,4м);161-115 есть ДМ
161-552 Молдинг (2,4м);161-552 есть ДМ
161-553 Молдинг (2,4м);161-553 есть ДМ
161-933 Молдинг (2,4м);161-933 есть ДМ
161-937 Молдинг (2,4м);161-937 есть ДМ
162-118 Молдинг (2,4м);162-118
162-126 Молдинг (2,4м);162-126
162-127 Молдинг (2,4м);162-127
162-281 Молдинг (2,4м);162-281
162-767 Молдинг (2,4м);162-767
163-1028 Молдинг (2,4м);163-1028
163-118 Молдинг (2,4м);163-118
163-126 Молдинг (2,4м);163-126
163-127 Молдинг (2,4м);163-127
163-281 Молдинг (2,4м);163-281
163-767 Молдинг (2,4м);163-767
164-1028 Молдинг (2,4м);164-1028
164-118 Молдинг (2,4м);164-118
164-126 Молдинг (2,4м);164-126
164-127 Молдинг (2,4м);164-127
164-281 Молдинг (2,4м);164-281
164-767 Молдинг (2,4м);164-767
165-1028 Молдинг (2,4м);165-1028 естьДМ
165-118 Молдинг (2,4м);165-118 есть ДМ
165-126 Молдинг (2,4м);165-126 есть ДМ
165-127 Молдинг (2,4м);165-127 есть ДМ
165-281 Молдинг (2,4м);165-281 есть ДМ
165-767 Молдинг (2,4м);165-767 есть ДМ
166-1028 Плинтус напольный (2,4м);166-1028
166-118 Плинтус напольный (2,4м);166-118
166-126 Плинтус напольный (2,4м);166-126
166-127 Плинтус напольный (2,4м);166-127
166-281 Плинтус напольный (2,4м);166-281
166-767 Плинтус напольный (2,4м);166-767
167-118 Плинтус (2,4м);167-118
167-126 Плинтус (2,4м);167-126
167-127 Плинтус (2,4м);167-127
167-281 Плинтус (2,4м);167-281
167-767 Плинтус (2,4м);167-767
168-1028 Плинтус (2,4м);168-1028
168-118 Плинтус (2,4м);168-118
168-126 Плинтус (2,4м);168-126
168-127 Плинтус (2,4м);168-127
168-281 Плинтус (2,4м);168-281
168-767 Плинтус (2,4м);168-767
169-118 Плинтус (2,4м);169-118
169-126 Плинтус  (2,4м);169-126
169-127 Плинтус (2,4м);169-127
169-281 Плинтус (2,4м);169-281
169-767 Плинтус (2,4м);169-767
170-1 Молдинг (2,4м);170-1
170-2 Молдинг (2,4м);170-2
170-3 Молдинг (2,4м);170-3
170-4 молдинг (2,4м);170-4
170-5 Молдинг (2,4м);170-5
170-6 Молдинг (2,4м);170-6
171-1 Плинтус (2,4м);171-1
171-2 Плинтус (2,4м);171-2
171-3 Плинтус  (2,4м);171-3
171-4 Плинтус (2,4м);171-4
171-5 Плинтус (2,4м);171-5
171-6 Плинтус  (2,4м);171-6
172-1 Плинтус  (2,4м);172-1
172-2 Плинтус (2,4м);172-2
172-3 Плинтус  (2,4м);172-3
172-4 Плинтус (2,4м);172-4
172-5 Плинтус (2,4м);172-5
172-6 Плинтус (2,4м);172-6
173-1 Плинтус  (2,4м);173-1
173-2 Плинтус  (2,4м);173-2
173-3 Плинтус (2,4м);173-3
173-4 Плинтус (2,4м);173-4
173-5 Плинтус (2,4м);173-5
173-6 Плинтус (2,4м);173-6
174-1 Плинтус  (2,4м);174-1
174-2 Плинтус (2,4м);174-2
174-3 Плинтус  (2,4м);174-3
174-4 Плинтус (2,4м);174-4
174-5 Плинтус (2,4м);174-5
174-6 Плинтус  (2,4м);174-6
175-1 Плинтус напольный (2,9м);175-1
175-2 Плинтус напольный (2,9м);175-2
175-3 Плинтус напольный (2,9м);175-3
175-4 Плинтус напольный (2,9м);175-4
175-5 Плинтус напольный (2,9м);175-5
175-6 Плинтус напольный (2,9м);175-6
176-1 Молдинг (2,9м);176-1
176-2 Молдинг (2,9м);176-2
176-3 Молдинг (2,9м);176-3
176-4 Молдинг (2,9м);176-4
176-5 Молдинг (2,9м);176-5
176-6 Молдинг (2,9м);176-6
807-1 Молдинг (2,9м);807-1
807-2 Молдинг (2,9м);807-2
807-3 Молднг (2,9м);807-3
807-4 Молдинг (2,9м);807-4
807-5 Молдинг (2,9м);807-5
807-6 Молдинг (2,9м);807-6
B10-1028 Панель (2,4м);B10-1028
B10-1084 Панель (2,4м);B10-1084
B10-115 Панель (2,4м);B10-115
B10-118 Панель (2,4м);B10-118
B10-126 Панель (2,4м);B10-126 выв.
B10-127 Панель (2,4м);B10-127
B10-281 Панель (2,4м);B10-281
B10-552 Панель (2,4м);B10-552
B10-553 Панель (2,4м);B10-553
B10-767 Панель (2,4м);B10-767
B10-933 Панель (2,4м);B10-933
B10-937 Панель (2,4м);B10-937
B15-1028 Панель (2,4м);B15-1028
B15-1084 Панель (2,4м);B15-1084
B15-115 Панель (2,4м);B15-115
B15-118  Панель (2,4м);B15-118
B15-552 Панель (2,4м);B15-552
B15-553 Панель (2,4м);B15-553
B15-767 Панель (2,4м);B15-767
B15-933 Панель (2,4м);B15-933 выв.
B20-1028 Панель (2,4м);B20-1028
B20-1084 Панель (2,4м);B20-1084
B20-115 Панель (2,4м);B20-115
B20-118 Панель (2,4м);B20-118
B20-126 Панель (2,4м);B20-126 выв.
B20-281 Панель (2,4м);B20-281 выв.
B20-552 Панель (2,4м);B20-552
B20-553 Панель (2,4м);B20-553
B20-767 Панель (2,4м);B20-767
B20-933 Панель (2,4м);B20-933
B30-1028 Панель  (2,4м);B30-1028
B30-1084 Панель (2,4м);B30-1084
B30-115 Панель (2,4м);B30-115
B30-118 Панель (2,4м);B30-118 выв.
B30-126 Панель (2,4м);B30-126
B30-127 Панель (2,4м);B30-127 выв.
B30-552 Панель (2,4м);B30-552
B30-553 Панель (2,4м);B30-553
B30-767 Панель (2,4м);B30-767
B30-933 Панель (2,4м);B30-933
B30-937 Панель (2,4м);B30-937
C10-1 Панель (2,4м);C10-1
C10-2 Панель (2,4м);C10-2
C10-3 Панель (2,4м);C10-3
C10-4 Панель (2,4м);C10-4
C10-5 Панель (2,4м);C10-5
C10-6 Панель (2,4м);C10-6
C15-1 Панель (2,4м);C15-1
C15-2 Панель (2,4м);C15-2
C15-3 Панель (2,4м);C15-3
C15-4 Панель (2,4м);C15-4
C15-5 Панель (2,4м);C15-5
C15-6 Панель (2,4м);C15-6
C20-1 Панель (2,4м);C20-1
C20-2 Панель (2,4м);C20-2
C20-3 Панель (2,4м);C20-3
C20-4 Панель (2,4м);C20-4
C20-5 Панель (2,4м);C20-5
C20-6 Панель (2,4м);C20-6
C30-1 Панель (2,4м);C30-1
C30-2 Панель (2,4м);C30-2
C30-3 Панель (2,4м);C30-3
C30-4 Панель (2,4м);C30-4
C30-5 Панель (2,4м);C30-5
C30-6 Панель (2,4м);C30-6
D30-1 Вставка;D30-1
D30-3 Вставка;D30-3
D30-4 Вставка;D30-4
D30-5 Вставка;D30-5
D30-6 Вставка;D30-6 выв.
Потолочный профиль с орнаментом L=2,4м DT 33 Flex;DT 33 flexible
Карниз с узорчатой резьбой L=2,44м. C 158-8 flexi;C 158-8  flexi выв.
Потолочный профиль с орнаментом L=2,4м 95613 Flex;95613 flexible
Потолочный профиль с орнаментом L=2,4м 95214 Flex;95214 flexible
Потолочный профиль гладкий L=240 см 96901 flexible;96901 flexible
Угловые вставки 98061-1;98061-1
Потолочный профиль с орнаментом L=2,4м 95348;95348 *
Потолочный профиль с орнаментом L=2,4м 95637;95637
Потолочный профиль гладкий L=240 см 96251;96251
Потолочный профиль с орнаментом L=2,4м 95609 Flex;95609 flexible
Потолочный профиль с орнаментом L=2,4м DT 138 Flex;DT 138 flexible
Декоративное панно DG 04BR;DG 04BR
Бордюр круглый  LR 689/70;LR 689/70 выв.
Декоративное панно DG 04BL;DG 04BL
Декоративное панно DG 04A;DG 04A
Угловой элемент P 5020A;P 5020A
Потолочный профиль гладкий L=240 см 96321;96321 *
Декоративное панно DT 3852A;DT 3852A
Клей акрил DECOMASTER-PU 0,5 кг;Клей акрил. 0,5 кг
Угловые вставки DP 8053 A;DP 8053 A
Угловые вставки 98520-2;98520-2
Молдинг P 5051F;P 5051F выв.
Молдинг L=2,44м. CR 602-8 flexi;CR 602-8 flexi выв.
Карниз гибкий C 305F;C 305F
Карниз гибкий C 400F;C 400F
Потолочный профиль с орнаментом L=2,4м 95603;95603
Декоративное панно W 8011 A;W 8011 A выв.
Декоративное панно W 8011 В;W 8011 В выв.
Основание 90018-4;90018-4 АКЦИЯ!!!
Карниз с узорчатой резьбой L=2,44м. C 147-8 flexi;C 147-8 flexi выв.
Полуколонна в сборе ПК35к-ПК35т-ПК35б;ПК35к-ПК35т-ПК35б
Колонна 90135;90135
Капитель 90018-1;90018-1
Основание 90024-4;90024-4
Колонна 90118;90118
Колонна 90124;90124
Капитель 90018-2;90018-2 АКЦИЯ!!
Капитель 90018-3;90018-3
Колонна 90024;90024
Капитель 90024-1;90024-1
Капитель 90024-2;90024-2
Капитель 90024-3;90024-3
Капитель 90135-1;90135-1
Основание 90135-4;90135-4
Колонна 90018;90018
Колонна 90030;90030
Капитель 90030-1;90030-1
Капитель 90030-2;90030-2
Основание 90030-4;90030-4
Полуколонна 90135-H;90135-H
Полукапитель 90135-1-H;90135-1-H
Полуоснование 90135-4-H;90135-4-H
Полуколонна 90118-H;90118-H
Полуколонна 90018-H;90018-H
Полукапитель 90018-1-H;90018-1-H
Полукапитель 90018-2-H;90018-2-H
Полукапитель 90018-3-H;90018-3-H
Полуколонна 90124-H;90124-H АКЦИЯ!!
Полукапитель 90024-1-H;90024-1-H
Полукапитель 90024-2-H;90024-2-H
Полукапитель 90024-3-H;90024-3-H
Полуоснование 90024-4H;90024-4-H
Потолочный профиль с орнаментом L=2,4м DT 22 Flex;DT 22 flexible
Потолочный профиль с орнаментом L=2,4м 95655 Flex;95655 flexible выв.
Полукапитель 90018-4-H;90018-4-H
Розетка DM 0406;DM 0406
Купол DM 3505;DM 3505 выв.
Розетка DM 0405;DM 0405
Потолочный профиль с орнаментом L=2,4м 95842;95842
Потолочный профиль гладкий L=240 см 96633;96633
Карниз с гладким профилем L=2,44м. P 2119-8;P 2119-8 выв.
Внешний угол DP 217 E;DP 217 E
Внутренний угол DP 217 R;DP 217 R
Средний элемент DP 217 M;DP 217 M
Декоративное панно W 8011 С white;W 8011 C white выв.
Молдинг L=2,44м. CR 3010-8 flexi;CR 3010-8 flexi выв.
Средний элемент DP 353 M;DP 353 M
Внутренний угол DP 353 R;DP 353 R
Полукапитель 90024-5-H;90024-5-H
Полуколонна (тело) 90024-H;90024-H
Полуоснование 90024-6H;90024-6-H
130D-179 Молдинг (2,4м);130D-179 есть ДМ
128-858 Молдинг (2,4м);128-858
Карниз с узорчатой резьбой L=2,44м. C 177-8 flexi;C 177-8 flexi выв.
Карниз потолочный с рисунком 2,4 м  АА 001;АА 001
Круговой молдинг В1064;В1064
Круговой молдинг В1066;В1066
Круговой молдинг В1069;В1069
Круговой молдинг В1075;В1075
Круговой молдинг В1076;В1076 выв
Круговой молдинг В1078;В1078
Круговой молдинг В1093;В1093
Круговой молдинг В1096;В1096
Карниз потолочный с рисунком 2,4 м   АА 001 F;АА 001 F
Карниз потолочный с рисунком 2,4 м   АА 003 F;АА 003 F
Карниз потолочный с рисунком 2,4 м,   АА 004;АА 004
Карниз потолочный с рисунком 2,4 м   АА 004 F;АА 004 F
Карниз потолочный с рисунком 2,4 м   АА 027;АА 027
Карниз потолочный с рисунком 2,4 м   АА 027 F;АА 027 F
Карниз потолочный с рисунком 2,4 м   АА 032 F;АА 032 F
Купол В2028;В2028
Молдинг 2,4 м  АС 296;АС 296
Молдинг 2,4 м, АD 359;АD 359
Карниз потолочный с рисунком 2,4 м   АА 118;АА 118
Карниз потолочный с рисунком 2,4 м   АА 303 F;АА 303 F
Карниз потолочный гладкий 2,4 м   АВ 111;AB 111
Карниз потолочный гладкий 2,4 м   АВ 168;AB 168
Карниз потолочный гладкий 2,4 м   АВ 179;AB 179
Карниз потолочный гладкий 2,4 м   АВ 190 F;AB 190 F
Консоль С 2001;С 2001
Консоль С 8016;С 8016
Консоль С 8017;С 8017
Консоль С 8041;С 8041
Обрамление дверного проема D 2514;D 2514
Обрамление дверного проема D 3025;D 3025
Обрамление дверного проема D 3508;D 3508
Обрамление дверного проема D 3526 L;D 3526 L
Обрамление дверного проема D 3526 R;D 3526 R
Обрамление дверного проема D 3527;D 3527
Обрамление дверного проема D 3530 L;D 3530 L
Обрамление дверного проема D 3530 R;D 3530 R
Обрамление дверного проема D 3531;D 3531
Обрамление дверного проема D 3535;D 3535
Обрамление дверного проема D 3536;D 3536
Орнамент G2055;G2055
Орнамент G2057;G2057
Обрамление зеркал K1006;К1006
Обрамление зеркал K1007;К1007
Обрамление зеркал K1008;К1008
Обрамление зеркал K1010;К1010
Обрамление зеркал K1011;К1011
Обрамление зеркал K1012;К1012
Панно К4002;К4002
Панно M2001L;M2001L
Панно M2001R;M2001R
Панно M2002L;M2002L
Панно M2002R;M2002R
Панно M2003L;M2003L
Панно M2003R;M2003R
Панно M2004L;M2004L
Панно M2004R;M2004R
Панно M2005L;M2005L
Панно M2005R;M2005R
Панно M2006L;M2006L
Панно M2006R;M2006R
Панно M2008L;M2008L
Панно M2008R;M2008R
Панно M2009L;M2009L
Панно M2009R;M2009R
Панно M2010L;M2010L
Панно M2010R;M2010R
N3015-1W Колонна;N3015-1W
N3115-1W Колонна;N3115-1W
N3115-1 1/2 Колонна;N3115-1 выв.
Потолочный профиль с орнаментом L=2,4м 95843;95843
N1015-1W Колонна h=1,39 м;N1015-1W
N1115-1W Капитель;N1115-1W
N1215-1W Капитель;N1215-1W
N1320-1 1/2 Капитель;N1320-1
N1325-1 1/2 Капитель;N1325-1
N2015-1W Основание;N2015-1W
N2115-1W Основание;N2115-1W
N2215-1W Основание;N2215-1W
N3015-1 1/2 Колонна;N3015-1
Клей акрил. Decomaster - Ремонтно-монтажный 0,3 кг;Клей акрил. 0,3 кг.
130C-684 Молдинг (2,4м);130C-684 есть ДМ
116-3 Угол (2,4м);116-3 есть ДМ
Потолочный профиль с орнаментом 2,4м DT 88107 Flex;DT 88107 flexible
116-6 Угол (2,4м);116-6 есть ДМ
130A-115 Молдинг (2,4м);130A-115 есть ДМ
130A-391 Молдинг (2,4м);130A-391
130A-565 Молдинг (2,4м);130A-565
130A-566 Молдинг (2,4м);130A-566
160-115 Молдинг (2,4м);160-115 есть ДМ
149-956 Молдинг (2,4м);149-956
116-127 Угол (2,4м);116-127 есть ДМ
116-552 Угол (2,4м);116-552 есть ДМ
128B-898 Молдинг (2,4м);128B-898
160A-893 Молдинг (2,4м);160A-893 есть ДМ
149-954 Молдинг (2,4м);149-954
149-955 Молдинг (2,4м);149-955
160A-894 Молдинг (2,4м);160A-894 есть ДМ
116-937 Угол (2,4м);116-937 есть ДМ
130C-683 Молдинг (2,4м);130C-683 есть ДМ
Угловые вставки DP 8053 B;DP 8053 B
116-1084 Угол (2,4м);116-1084 есть ДМ
Полка декоративная DH-14;DH-14
Розетка DM 0400;DM 0400
Воск мягкий "Stuccorapido"(30гр),цвет №47;воск. цвет №47
Воск мягкий "Stuccorapido"(30гр),цвет №118;воск. цвет №118
Воск мягкий "Stuccorapido"(30гр),цвет №07;воск. цвет №07
Воск мягкий "Stuccorapido"(30гр),цвет №19;воск. цвет №19
Угловые вставки DP 8032 D;DP 8032 D
Декоративное панно W 8010 А;W 8010 А выв.
Полукапитель 90030-1-H;90030-1-H
